MBR_NO,seq_len,num of devices,total_seq,tot_have,living,kitchen,air,require,season,require_ratio,season_ratio,tot_buy,mean_term_month,cnt_per_buy,max_per_buy,loyalty_assets,loyalty_depend,tot_buy_score,term_score,mean_buy_score,max_buy_score,active_score,loyalty_purchase,loyalty_score,loyalty_grade
00049b0f90c370151515659a6ea37d087f5d6969b64cc8103828aa9c941f61c2,4,4,냉장고-건조기-에어컨-식기세척기,5,2,2,1,3,1,1,0.5,6,4.7,1.2,2,5,4,5,1,1,1,2,2,3.666666667,최상
000e4f7c39205b536ca3103e21119eb2cd03863b8fcef0f71ba98dcfbcc4c88e,4,4,건조기-공청기-세탁기-냉장고,4,2,1,1,2,1,0.7,0.5,4,3.5,1,1,5,3,3,3,1,1,2,2,3.333333333,상
0016dfd712aa1920728c2eb170a3a873449c37946bc007ac91fc31aaca17eea2,4,4,냉장고-건조기-에어컨-공청기,5,2,1,2,3,2,1,1,5,5.5,1.25,2,5,4,4,1,1,1,1.75,2,3.666666667,최상
001fcb5f47f6ac8773352f5eafe1f7b4e331e278ec65a31f75879166d56a6736,4,4,건조기-공청기-세탁기-식기세척기,5,2,2,1,2,1,0.7,0.5,6,6.3,1.2,2,5,3,5,1,1,1,2,2,3.333333333,상
0031fdde54b6890bd8183e3ba250148a6b65235ad20c456cf8831ab940e30b78,4,4,스타일러-공청기-워시타워-식기세척기,4,2,1,1,1,1,0.3,0.5,6,6.6,1.5,2,5,2,5,1,1,1,2,2,3,상
0034e6220939a50efc92a181eeae978c5f00415f4ec5cfe6e4f8b34abc04470e,4,4,공청기-워시타워-스타일러-에어컨,4,2,0,2,2,2,0.7,1,5,1.8,1.25,2,5,3,4,3,1,1,2.25,3,3.666666667,최상
003d0f090b33f3c99869bf4295adcc5fcad462d766a7630d35d40d725d621264,4,4,식기세척기-공청기-스타일러-건조기,5,3,1,1,1,1,0.3,0.5,5,1.7,1.25,2,5,2,4,3,1,1,2.25,3,3.333333333,상
0045ce067bf6796f49aa6594e06e69d57f0a508d7be3369b3ebbcb33620b7c70,4,4,스타일러-건조기-공청기-세탁기,4,3,0,1,1,1,0.3,0.5,5,7.7,1.25,2,5,2,4,1,1,1,1.75,2,3,상
004c5e55a05823e7ad1c420a5db89de51f98c2e07682999b0a02e1e7d961c889,4,4,에어컨-건조기-세탁기-식기세척기,4,2,1,1,2,1,0.7,0.5,5,2.5,1,1,5,3,4,3,1,1,2.25,3,3.666666667,최상
004ce8127200d28e8392f8e2efd478efbd77a0ee0668baa2f6522fe5b1c96690,4,4,세탁기-건조기-공청기-에어컨,4,2,0,2,2,2,0.7,1,5,4.1,1.25,2,5,3,4,1,1,1,1.75,2,3.333333333,상
005f8e1957a3c0ad02757b5687f91dd8aeef400fc8648aaa8a66e6564ad2f1ca,5,5,냉장고-건조기-공청기-스타일러-식기세척기,6,3,2,1,2,1,0.7,0.5,6,2.6,1.2,2,5,3,5,3,1,1,2.5,3,3.666666667,최상
007a275c57ee3801c1b4dab830c5ab7e9196fd0be1a41aeab71e47fc9aeda12e,6,6,에어컨-세탁기-냉장고-공청기-스타일러-식기세척기,6,2,2,2,3,2,1,1,8,2.3,1.6,3,5,4,5,3,3,3,3.5,5,4.666666667,최상
00838135e1227d4b13de0d5d4e687de419b1be92c7af8892f2fb67174270c8fa,4,4,에어컨-건조기-세탁기-공청기,4,2,0,2,2,2,0.7,1,4,5,1,1,5,3,3,1,1,1,1.5,1,3,상
0084e350f92ef9ea8b76d0963ff14ab8afaabae04a29d796b57185bc67288079,5,5,건조기-냉장고-공청기-에어컨-오븐,6,2,2,2,3,2,1,1,7,4.4,1,1,5,4,5,1,1,1,2,2,3.666666667,최상
00874767014a29a81c2875f39e877000946fb3366b8ce21fa30bc19391fbcd7d,5,5,세탁기-건조기-오븐-냉장고-에어컨,5,2,2,1,3,1,1,0.5,6,0.8,1,1,5,4,5,3,1,1,2.5,3,4,최상
00884a48edf9b8041bcab1bbc1c99056d254c4b590e740da5dd8d3ab1bfe42d6,4,4,냉장고-에어컨-스타일러-세탁기,4,2,1,1,3,1,1,0.5,4,2.1,1,1,5,4,3,3,1,1,2,2,3.666666667,최상
00968268be900c4c9c18a3223d34c51065edd99b4397f474e866c19f41446fe2,5,5,스타일러-건조기-식기세척기-세탁기-에어컨,6,3,2,1,3,1,1,0.5,8,4.6,1.333333333,2,5,4,5,1,1,1,2,2,3.666666667,최상
0098376cadac261713384bcacea40e6d7fe4fadbc1a98e18c2473b86f49ae6cb,4,4,워시타워-스타일러-오븐-식기세척기,4,2,2,0,1,0,0.3,0,5,1.1,1.25,2,5,2,4,3,1,1,2.25,3,3.333333333,상
00a3e2f9c3dd300f1c485587aa3f7a8d4a11408205801793fe810ec79b7af4aa,4,4,건조기-세탁기-공청기-식기세척기,4,2,1,1,1,1,0.3,0.5,5,7.4,1.25,2,5,2,4,1,1,1,1.75,2,3,상
